,Number,Italian,Original,English_opus-mt-tc-big-it-en,English_Google,rating_score,rating_opus-mt,NLTKPositive,NLTKNegative,NLTKNeutral,NLTKSentiment,NLTKPositive-G,NLTKNegative-G,NLTKNeutral-G,NLTKSentiment-G,TextblobSentimentPolarity,TextblobSentimentSubjectivity,TextblobSentimentPolarity-G,TextblobSentimentSubjectivity-G,FlairSentiment,FlairSentiment-G,PatternSentimentPolarity,PatternSentimentSubjectivity,PatternSentimentPolarity-G,PatternSentimentSubjectivity-G,Opus,Google,Ideal Human Translation,BLEU_score_mt,chrF_score_mt,BLEU_score_gt,chrF_score_gt
84,84,Che persona malvagia ,-1,What an evil person,What evil person,-0.6597,-0.6597,0.0,0.595,0.405,-0.6597,0.0,0.688,0.312,-0.6597,-1.0,1.0,-1.0,1.0, NEGATIVE (0.9912), NEGATIVE (0.998),-1.0,1.0,-1.0,1.0,True,True,What an evil person,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 100.00,BLEU = 45.14 100.0/50.0/50.0/0.0 (BP = 0.717 ratio = 0.750 hyp_len = 3 ref_len = 4),chrF2 = 67.98
85,85,Mi sento male,-1,I feel sick,I feel bad,-0.5423,-0.5106,0.0,0.767,0.233,-0.5106,0.0,0.778,0.222,-0.5423,-0.7142857142857143,0.8571428571428571,-0.6999999999999998,0.6666666666666666, NEGATIVE (0.9999), NEGATIVE (0.9999),-0.7142857142857143,0.8571428571428571,-0.6999999999999998,0.6666666666666666,True,False,I feel sick,BLEU = 100.00 100.0/100.0/100.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3),chrF2 = 100.00,BLEU = 55.03 66.7/50.0/50.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3),chrF2 = 34.59
86,86,Mi sento solo,-1,I feel lonely,I feel alone,-0.25,-0.3612,0.0,0.714,0.286,-0.3612,0.0,0.667,0.333,-0.25,-0.0999999999999999,0.7,0.0,0.0, NEGATIVE (0.9874), NEGATIVE (0.6724),-0.0999999999999999,0.7,0.0,0.0,True,False,I feel lonely,BLEU = 100.00 100.0/100.0/100.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3),chrF2 = 100.00,BLEU = 55.03 66.7/50.0/50.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3),chrF2 = 44.13
87,87,Detesto il mio lavoro,-1,I hate my job.,I hate my work,-0.5719,-0.5719,0.0,0.649,0.351,-0.5719,0.0,0.649,0.351,-0.5719,-0.8,0.9,-0.8,0.9, NEGATIVE (0.9999), NEGATIVE (1.0),-0.8,0.9,-0.8,0.9,True,False,I hate my job.,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00,BLEU = 46.31 75.0/66.7/50.0/50.0 (BP = 0.779 ratio = 0.800 hyp_len = 4 ref_len = 5),chrF2 = 52.41
88,88,Non ti sopporto proprio!,-1,I just can't stand you!,I can't stand you!,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, NEGATIVE (0.9996), NEGATIVE (0.9998),0.0,0.0,0.0,0.0,False,True,I can't stand you!,BLEU = 53.73 83.3/60.0/50.0/33.3 (BP = 1.000 ratio = 1.200 hyp_len = 6 ref_len = 5),chrF2 = 87.31,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00
89,89,Hai una brutta cera!,-1,You look bad!,You have a bad wax!,-0.5848,-0.5848,0.0,0.655,0.345,-0.5848,0.0,0.558,0.442,-0.5848,-0.8749999999999998,0.6666666666666666,-0.8749999999999998,0.6666666666666666, NEGATIVE (0.9998), NEGATIVE (0.9999),-0.8749999999999998,0.6666666666666666,-0.8749999999999998,0.6666666666666666,True,False,You look bad!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 100.00,BLEU = 10.68 50.0/10.0/6.2/4.2 (BP = 1.000 ratio = 1.500 hyp_len = 6 ref_len = 4),chrF2 = 19.46
90,90,Temo il tempo che passa,-1,I fear the passing of time,I fear the time that passes,-0.4939,-0.4939,0.0,0.444,0.556,-0.4939,0.0,0.444,0.556,-0.4939,0.0,0.0,0.0,0.0, NEGATIVE (0.9971), NEGATIVE (0.9972),0.0,0.0,0.0,0.0,True,False,I fear the passing of time,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 100.00,BLEU = 32.47 66.7/40.0/25.0/16.7 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 45.36
91,91,Non ti amo,-1,I don't love you,I do not love you,-0.5216,-0.5216,0.0,0.627,0.373,-0.5216,0.0,0.529,0.471,-0.5216,0.5,0.6,-0.25,0.6, NEGATIVE (0.9924), NEGATIVE (0.9989),-0.25,0.6,-0.25,0.6,True,False,I don't love you,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 100.00,BLEU = 23.64 60.0/25.0/16.7/12.5 (BP = 1.000 ratio = 1.250 hyp_len = 5 ref_len = 4),chrF2 = 65.05
92,92,ÃÂ stata una serata molto noiosa,-1,It's been a very boring night.,It was a very boring evening,-0.3804,-0.3804,0.0,0.393,0.607,-0.3804,0.0,0.393,0.607,-0.3804,-1.0,1.0,-1.0,1.0, NEGATIVE (1.0), NEGATIVE (0.9999),-1.0,1.0,-1.0,1.0,False,True,It was a very boring evening,BLEU = 24.45 42.9/33.3/20.0/12.5 (BP = 1.000 ratio = 1.167 hyp_len = 7 ref_len = 6),chrF2 = 48.91,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 100.00
93,93,Non voglio vederti piÃÂ¹!,-1,I don't want to see you anymore!,I don't want to see you anymore!,-0.1316,-0.1316,0.0,0.232,0.768,-0.1316,0.0,0.232,0.768,-0.1316,0.0,0.0,0.0,0.0, NEGATIVE (0.7643), NEGATIVE (0.7643),0.0,0.0,0.0,0.0,True,True,I don't want to see you anymore!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8),chrF2 = 100.00
94,94,ÃÂ sempre triste partire,-1,It's always sad to leave,It is always sad to leave,-0.5106,-0.5106,0.0,0.589,0.411,-0.5106,0.0,0.518,0.482,-0.5106,-0.5,1.0,-0.5,1.0, NEGATIVE (0.8631), NEGATIVE (0.8585),-0.5,1.0,-0.5,1.0,True,True,It's always sad to leave,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00,BLEU = 50.81 66.7/60.0/50.0/33.3 (BP = 1.000 ratio = 1.200 hyp_len = 6 ref_len = 5),chrF2 = 85.23
95,95,ÃÂ stata una lite violenta,-1,It was a violent fight.,It was a violent dispute,-0.765,-0.7579,0.0,0.765,0.235,-0.7579,0.0,0.767,0.233,-0.765,-0.8,1.0,-0.8,1.0, NEGATIVE (0.8507), NEGATIVE (0.9933),-0.8,1.0,-0.8,1.0,True,False,It was a violent fight.,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 100.00,BLEU = 54.75 80.0/75.0/66.7/50.0 (BP = 0.819 ratio = 0.833 hyp_len = 5 ref_len = 6),chrF2 = 64.22
96,96,ÃÂ stata una brutta lite,-1,It was a bad fight.,It was a bad dispute,-0.7351,-0.7269,0.0,0.753,0.247,-0.7269,0.0,0.756,0.244,-0.7351,-0.6999999999999998,0.6666666666666666,-0.6999999999999998,0.6666666666666666, NEGATIVE (0.9984), NEGATIVE (0.9993),-0.6999999999999998,0.6666666666666666,-0.6999999999999998,0.6666666666666666,True,False,It was a bad fight.,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 100.00,BLEU = 54.75 80.0/75.0/66.7/50.0 (BP = 0.819 ratio = 0.833 hyp_len = 5 ref_len = 6),chrF2 = 52.46
97,97,Detesto le bugie,-1,I hate lies,I hate the lies,-0.7579,-0.7579,0.0,1.0,0.0,-0.7579,0.0,0.867,0.133,-0.7579,-0.8,0.9,-0.8,0.9, NEGATIVE (0.8527), NEGATIVE (0.9958),-0.8,0.9,-0.8,0.9,True,False,I hate lies,BLEU = 100.00 100.0/100.0/100.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3),chrF2 = 100.00,BLEU = 35.36 75.0/33.3/25.0/25.0 (BP = 1.000 ratio = 1.333 hyp_len = 4 ref_len = 3),chrF2 = 60.38
98,98,La violenza ÃÂ¨ un male sociale,-1,Violence is a social evil,Violence is a social evil,-0.8591,-0.8591,0.0,0.81,0.19,-0.8591,0.0,0.81,0.19,-0.8591,-0.4833333333333333,0.5333333333333333,-0.4833333333333333,0.5333333333333333, NEGATIVE (0.9988), NEGATIVE (0.9988),-0.4833333333333333,0.5333333333333333,-0.4833333333333333,0.5333333333333333,True,False,Violence is a social evil,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00
99,99,Disapprovo la tua scelta!,-1,I disapprove of your choice!,I disapprove of your choice!,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, NEGATIVE (0.9966), NEGATIVE (0.9966),0.0,0.0,0.0,0.0,True,True,I disapprove of your choice!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 100.00
100,100,Non ci sopportiamo a vicenda,-1,We can't stand each other,We don't endure each other,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.125,0.375,-0.125,0.375, NEGATIVE (0.9998), NEGATIVE (0.699),-0.125,0.375,-0.125,0.375,True,False,We can't stand each other,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00,BLEU = 23.64 60.0/25.0/16.7/12.5 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 43.88
101,101,Disprezzo il tuo comportamento,-1,I despise your behavior,DISCOZZA YOUR COME,0.0,-0.34,0.0,0.545,0.455,-0.34,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, NEGATIVE (0.9998), NEGATIVE (0.9821),0.0,0.0,0.0,0.0,True,False,I despise your behavior,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 100.00,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.717 ratio = 0.750 hyp_len = 3 ref_len = 4),chrF2 = 0.87
102,102,Che brutto regalo!,-1,What a bad gift!,What a bad gift!,-0.2244,-0.2244,0.377,0.493,0.13,-0.2244,0.377,0.493,0.13,-0.2244,-0.8749999999999998,0.6666666666666666,-0.8749999999999998,0.6666666666666666, NEGATIVE (0.9996), NEGATIVE (0.9996),-0.8749999999999998,0.6666666666666666,-0.8749999999999998,0.6666666666666666,False,False,What an ugly gift!,BLEU = 23.64 60.0/25.0/16.7/12.5 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 38.05,BLEU = 23.64 60.0/25.0/16.7/12.5 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 38.05
103,103,Mi hai ferito profondamente,-1,You hurt me deeply,You wounded me deeply,0.0,-0.5267,0.0,0.531,0.469,-0.5267,0.0,0.0,1.0,0.0,0.0,0.4,0.0,0.4, NEGATIVE (0.9985), NEGATIVE (0.9983),0.0,0.4,0.0,0.4,True,False,You hurt me deeply,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 100.00,BLEU = 35.36 75.0/33.3/25.0/25.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 48.76
104,104,Sei proprio una brutta persona,-1,You're such a bad person.,You are really a bad person,-0.5849,-0.5423,0.0,0.538,0.462,-0.5423,0.0,0.487,0.513,-0.5849,-0.3499999999999999,0.5833333333333333,-0.6999999999999998,0.6666666666666666, NEGATIVE (0.999), NEGATIVE (0.9998),-0.3499999999999999,0.5833333333333333,-0.6999999999999998,0.6666666666666666,False,True,You are really a bad person,BLEU = 30.21 50.0/40.0/25.0/16.7 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 45.44,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 100.00
105,105,Sei un incapace!,-1,You're a fool!,You are an incapable!,-0.4389,-0.4926,0.0,0.761,0.239,-0.4926,0.0,0.491,0.509,-0.4389,0.0,0.0,0.0,0.0, NEGATIVE (0.9989), NEGATIVE (0.9556),0.0,0.0,0.0,0.0,True,False,You're a fool!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 100.00,BLEU = 10.68 20.0/12.5/8.3/6.2 (BP = 1.000 ratio = 1.250 hyp_len = 5 ref_len = 4),chrF2 = 18.54
106,106,Sei un inetto!,-1,You're inept!,You are an inept!,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, NEGATIVE (0.9999), NEGATIVE (0.9999),0.0,0.0,0.0,0.0,False,True,You are an inept!,BLEU = 28.25 66.7/50.0/50.0/0.0 (BP = 0.513 ratio = 0.600 hyp_len = 3 ref_len = 5),chrF2 = 41.38,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00
107,107,Buono a nulla!,-1,Good for nothing!,Good for nothing!,0.4926,0.4926,0.615,0.0,0.385,0.4926,0.615,0.0,0.385,0.4926,0.875,0.6000000000000001,0.875,0.6000000000000001, NEGATIVE (0.9984), NEGATIVE (0.9984),0.875,0.6000000000000001,0.875,0.6000000000000001,True,True,Good for nothing!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 100.00
108,108,Sei un egoista!,-1,You're selfish!,You are an egoist!,0.0,-0.5255,0.0,0.772,0.228,-0.5255,0.0,0.0,1.0,0.0,-0.625,1.0,0.0,0.0, NEGATIVE (0.9956), NEGATIVE (0.9788),-0.625,1.0,0.0,0.0,True,False,You're selfish!,BLEU = 100.00 100.0/100.0/100.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3),chrF2 = 100.00,BLEU = 10.68 20.0/12.5/8.3/6.2 (BP = 1.000 ratio = 1.667 hyp_len = 5 ref_len = 3),chrF2 = 16.98
109,109,Che rabbia!,-1,What a rage!,That anger!,-0.6114,-0.5983,0.0,0.796,0.204,-0.5983,0.0,0.8,0.2,-0.6114,0.0,0.0,-0.875,0.2, POSITIVE (0.6224), NEGATIVE (0.9481),0.0,0.0,-0.875,0.2,True,False,What a rage!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 100.00,BLEU = 19.72 33.3/25.0/25.0/0.0 (BP = 0.717 ratio = 0.750 hyp_len = 3 ref_len = 4),chrF2 = 27.29
110,110,Non volgiio piÃÂ¹ parlarti!,-1,I don't want to talk to you anymore!,I don't turn to talk to you anymore!,0.0,-0.1316,0.0,0.201,0.799,-0.1316,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, NEGATIVE (0.9887), NEGATIVE (0.9943),0.0,0.0,0.0,0.0,True,False,I don't want to talk to you anymore!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 9 ref_len = 9),chrF2 = 100.00,BLEU = 66.06 88.9/75.0/57.1/50.0 (BP = 1.000 ratio = 1.000 hyp_len = 9 ref_len = 9),chrF2 = 77.29
111,111,Che persona scortese!,-1,What a rude person!,What a rude person!,-0.5093,-0.5093,0.0,0.622,0.378,-0.5093,0.0,0.622,0.378,-0.5093,-0.375,0.6,-0.375,0.6, NEGATIVE (0.9996), NEGATIVE (0.9996),-0.375,0.6,-0.375,0.6,True,True,What a rude person!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00
112,112,ÃÂ un gesto ripugnevole!,-1,It's a repugnant gesture!,It is a repugly gesture!,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, NEGATIVE (0.9974), NEGATIVE (0.9801),0.0,0.0,0.0,0.0,True,False,It's a repugnant gesture!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00,BLEU = 17.97 50.0/20.0/12.5/8.3 (BP = 1.000 ratio = 1.200 hyp_len = 6 ref_len = 5),chrF2 = 53.51
113,113,Sei un essere abominevole.,-1,You are an abominable being.,You are an abominable being.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, NEGATIVE (0.9382), NEGATIVE (0.9382),0.0,0.0,0.0,0.0,True,True,You are an abominable being.,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 100.00
114,114,Quel libro che ho letto mi ha lasciata indifferente nÃÂ© bello nÃÂ© brutto,0,That book I read left me indifferent neither beautiful nor ugly,That book I read left me indifferent or beautiful or ugly,-0.0516,-0.7356,0.0,0.507,0.493,-0.7356,0.244,0.319,0.438,-0.0516,0.05,0.6666666666666666,0.05,0.6666666666666666, NEGATIVE (0.9891), NEGATIVE (1.0),0.05,0.6666666666666666,0.05,0.6666666666666666,False,False,The book I read left me indifferent. It was neither interesting or boring.,BLEU = 33.36 63.6/50.0/44.4/37.5 (BP = 0.695 ratio = 0.733 hyp_len = 11 ref_len = 15),chrF2 = 52.84,BLEU = 33.36 63.6/50.0/44.4/37.5 (BP = 0.695 ratio = 0.733 hyp_len = 11 ref_len = 15),chrF2 = 46.94
115,115,Il tuo comportamento non mi fa nÃÂ© caldo nÃÂ© freddo,0,Your behavior makes me neither hot nor cold,Your behavior is neither hot nor cold,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.175,0.925,-0.175,0.925, NEGATIVE (0.9979), NEGATIVE (0.9994),-0.175,0.925,-0.175,0.925,False,False,Your behavior doesn't affect me at all.,BLEU = 12.22 37.5/14.3/8.3/5.0 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8),chrF2 = 37.81,BLEU = 11.39 28.6/16.7/10.0/6.2 (BP = 0.867 ratio = 0.875 hyp_len = 7 ref_len = 8),chrF2 = 36.98
116,116,In questo momento mi sento piuttosto calma non provo emozioni forti,0,Right now I feel rather calm I don't feel strong emotions,At this moment I feel quite calm I do not feel strong emotions,-0.0281,-0.1032,0.192,0.225,0.583,-0.1032,0.181,0.189,0.63,-0.0281,0.3396825396825396,0.673015873015873,0.3666666666666667,0.7416666666666667, NEGATIVE (0.9849), POSITIVE (0.9558),0.3396825396825396,0.673015873015873,0.3666666666666667,0.7416666666666667,True,False,Right now I feel rather calm I don't feel strong emotions,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 11 ref_len = 11),chrF2 = 100.00,BLEU = 16.90 53.8/33.3/9.1/5.0 (BP = 1.000 ratio = 1.182 hyp_len = 13 ref_len = 11),chrF2 = 57.14
117,117,"A me interessa poco chi vince il campionato, le squadre per me sono tutte uguali",0,"I care little who wins the championship, the teams for me are all the same","I am not very interested in those who win the championship, the teams are all the same for me",0.6399,0.8598,0.464,0.0,0.536,0.8598,0.277,0.102,0.62,0.6399,0.0375,0.2749999999999999,0.2346153846153846,0.3032051282051282, POSITIVE (0.8892), NEGATIVE (1.0),0.0375,0.2749999999999999,0.2346153846153846,0.3032051282051282,False,True,"I am not very interested in those who win the championship, the teams are all the same for me",BLEU = 33.86 81.2/53.3/35.7/23.1 (BP = 0.779 ratio = 0.800 hyp_len = 16 ref_len = 20),chrF2 = 58.23,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 20 ref_len = 20),chrF2 = 100.00
118,118,"Mi piacciono tutti i tipi di cibo, non ho preferenza",0,"I like all kinds of food, I have no preference","I like all types of food, I have no preference",0.0772,0.0772,0.234,0.206,0.561,0.0772,0.234,0.206,0.561,0.0772,0.0,0.0,0.0,0.0, POSITIVE (0.7221), POSITIVE (0.6723),0.0,0.0,0.0,0.0,True,False,"I like all kinds of food, I have no preference",BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 11 ref_len = 11),chrF2 = 100.00,BLEU = 70.17 90.9/80.0/66.7/50.0 (BP = 1.000 ratio = 1.000 hyp_len = 11 ref_len = 11),chrF2 = 80.87
119,119,Mi ritengo una persona equa e senza pregiudizi,0,I consider myself a fair and unprejudiced person,I consider myself a fair person without prejudices,0.5621,0.3182,0.315,0.0,0.685,0.3182,0.537,0.0,0.463,0.5621,0.7,0.9,0.7,0.9, NEGATIVE (0.596), POSITIVE (0.9871),0.7,0.9,0.7,0.9,False,True,I consider myself a fair person without prejudices,BLEU = 54.11 75.0/57.1/50.0/40.0 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8),chrF2 = 68.55,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8),chrF2 = 100.00
120,120,Non mi lascio mai influenzare da quello che pensano gli altri.,0,I never let myself be influenced by what other people think.,I never let myself be influenced by what others think.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.125,0.375,0.0,0.0, POSITIVE (0.976), POSITIVE (0.9705),-0.125,0.375,0.0,0.0,False,True,I never let myself be influenced by what others think.,BLEU = 67.04 83.3/72.7/60.0/55.6 (BP = 1.000 ratio = 1.091 hyp_len = 12 ref_len = 11),chrF2 = 89.48,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 11 ref_len = 11),chrF2 = 100.00
121,121,Il film ha presentato l'argomento in una maniera molto logica e neutrale,0,The film presented the subject in a very logical and neutral way,The film presented the topic in a very logical and neutral way,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0791666666666666,0.3291666666666666,0.325,0.325, POSITIVE (0.9974), POSITIVE (0.9987),0.0791666666666666,0.3291666666666666,0.325,0.325,True,True,The film presented the subject in a very logical and neutral way,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 12 ref_len = 12),chrF2 = 100.00,BLEU = 73.49 91.7/81.8/70.0/55.6 (BP = 1.000 ratio = 1.000 hyp_len = 12 ref_len = 12),chrF2 = 82.33
122,122,In realtÃÂ  non ho un'opinione su quanto ÃÂ¨ accaduto,0,I don't really have an opinion on what happened.,In reality I don't have an opinion about what happened,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0, NEGATIVE (0.9999), NEGATIVE (0.9998),-0.1,0.2,0.0,0.0,False,True,In reality I don't have an opinion about what happened,BLEU = 22.96 70.0/44.4/12.5/7.1 (BP = 1.000 ratio = 1.000 hyp_len = 10 ref_len = 10),chrF2 = 61.23,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 10 ref_len = 10),chrF2 = 100.00
123,123,"Alla fine dei conti puoi fare quello che desideri, a me non interessa molto.",0,"At the end of the day, you can do whatever you want, I don't really care.","At the end of the accounts you can do what you want, I don't care much.",-0.3244,-0.3705,0.076,0.166,0.758,-0.3705,0.077,0.155,0.768,-0.3244,0.2,0.2,0.2,0.2, NEGATIVE (0.9999), NEGATIVE (0.9999),-0.1,0.2,0.2,0.2,True,False,"At the end of the day, you can do whatever you want, I don't really care.",BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 19 ref_len = 19),chrF2 = 100.00,BLEU = 46.26 83.3/58.8/43.8/26.7 (BP = 0.946 ratio = 0.947 hyp_len = 18 ref_len = 19),chrF2 = 60.75
124,124,"Possiamo andare in vacanza da qualsiesi parte, per me ÃÂ¨ lo stesso",0,"We can go on holiday anywhere, for me it's the same","We can go on vacation from any starts, for me it is the same",0.0,0.4019,0.213,0.0,0.787,0.4019,0.0,0.0,1.0,0.0,0.0,0.125,0.0,0.125, POSITIVE (0.9854), POSITIVE (0.9885),0.0,0.125,0.0,0.125,False,False,We can go on vation anywhere for me it's the same.,BLEU = 54.52 83.3/63.6/50.0/33.3 (BP = 1.000 ratio = 1.000 hyp_len = 12 ref_len = 12),chrF2 = 68.40,BLEU = 22.23 53.3/35.7/15.4/8.3 (BP = 1.000 ratio = 1.250 hyp_len = 15 ref_len = 12),chrF2 = 55.77
125,125,Non ho preferenze su cosa fare stasera,0,I have no preference on what to do tonight,I have no preferences on what to do tonight,-0.296,-0.296,0.0,0.239,0.761,-0.296,0.0,0.239,0.761,-0.296,0.0,0.0,0.0,0.0, NEGATIVE (0.9961), NEGATIVE (0.9994),0.0,0.0,0.0,0.0,True,True,I have no preference on what to do tonight,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 9 ref_len = 9),chrF2 = 100.00,BLEU = 59.69 88.9/75.0/57.1/33.3 (BP = 1.000 ratio = 1.000 hyp_len = 9 ref_len = 9),chrF2 = 91.17
